s,a
0.00,24.00
1.00,25.50
2.00,27.00
3.00,28.50
4.00,30.00
5.00,31.50
6.00,33.00
7.00,34.50
8.00,36.00
9.00,37.50
10.00,39.00
11.00,40.50
12.00,42.00
13.00,43.50
14.00,45.00
15.00,46.50
16.00,48.00
17.00,49.50
18.00,51.00
19.00,52.50
20.00,54.00
21.00,55.50
22.00,57.00
23.00,58.50
24.00,60.00
25.00,61.50
26.00,63.00
27.00,64.50
28.00,66.00
29.00,67.50
30.00,69.00
31.00,70.50
32.00,72.00
33.00,73.50
34.00,75.00
35.00,76.50
36.00,78.00
37.00,79.50
38.00,81.00
39.00,82.50
40.00,84.00
41.00,85.50
42.00,87.00
43.00,88.50
44.00,90.00
45.00,91.50
46.00,93.00
47.00,94.50
48.00,96.00
49.00,97.50
50.00,99.00
51.00,100.50
52.00,102.00
53.00,103.50
54.00,105.00
55.00,106.50
56.00,108.00
57.00,109.50
58.00,111.00
59.00,112.50
60.00,114.00
61.00,115.50
62.00,117.00
63.00,118.50
64.00,120.00
65.00,121.50
66.00,123.00
67.00,124.50
68.00,126.00
69.00,127.50
70.00,129.00
71.00,130.50
72.00,132.00
73.00,133.50
74.00,135.00
75.00,136.50
76.00,138.00
77.00,139.50
78.00,141.00
79.00,142.50
80.00,144.00
81.00,145.50
82.00,147.00
83.00,148.50
84.00,150.00
85.00,151.50
86.00,153.00
87.00,154.50
88.00,156.00
89.00,157.50
90.00,159.00
91.00,160.50
92.00,162.00
93.00,163.50
94.00,165.00
95.00,166.50
96.00,168.00
97.00,169.50
98.00,171.00
99.00,172.50
